Released_Year,Runtime,IMDB_Rating,Meta_score,Star1,Star2,Star3,Star4,No_of_Votes,Gross
1994,142,9.3,80.0,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,28341469
1972,175,9.2,100.0,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,134966411
2008,152,9.0,84.0,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,534858444
1974,202,9.0,90.0,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,57300000
1957,96,9.0,96.0,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,4360000
2003,201,8.9,94.0,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,377845905
1994,154,8.9,94.0,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,107928762
1993,195,8.9,94.0,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,96898818
2010,148,8.8,74.0,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,292576195
1999,139,8.8,66.0,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,37030102
2001,178,8.8,92.0,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,315544750
1994,142,8.8,82.0,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,330252182
1966,161,8.8,90.0,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390,6100000
2002,179,8.7,87.0,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,342551365
1999,136,8.7,73.0,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,171479930
1990,146,8.7,90.0,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,46836394
1980,124,8.7,82.0,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,290475067
1975,133,8.7,83.0,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,112000000
2020,160,8.6,90.0,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,55291,
2019,132,8.6,96.0,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,53367844
2014,169,8.6,74.0,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,188020017
2002,130,8.6,79.0,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,7563397
2001,125,8.6,96.0,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,10055859
1998,169,8.6,91.0,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,216540909
1999,189,8.6,61.0,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,136801374
1997,116,8.6,59.0,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,57598247
1995,127,8.6,65.0,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096,100125643
1991,118,8.6,85.0,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,130742922
1977,121,8.6,90.0,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473,322740140
1962,133,8.6,85.0,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,42004,
1954,207,8.6,98.0,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744,269061
1946,130,8.6,89.0,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,405801,
2019,122,8.5,59.0,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,335451311
2014,106,8.5,88.0,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,13092000
