Ator,Nº de filmes,Nota (público),Nota (crítica),Ano médio,Ano do último filme,Duração,Nº de votos,Bilheteria
Robert De Niro,16,8.1,7.94,1991.9,2019,145.2,7475869,996.3
Tom Hanks,14,8.04,7.99,2002.4,2019,129.9,9374159,2903.6
Al Pacino,13,8.08,7.88,1988.8,2019,155.9,6098413,641.2
Clint Eastwood,12,7.96,7.41,1979.8,2008,129.7,3352846,568.9
Brad Pitt,12,8.02,7.24,2005.1,2019,136.6,9144728,1050.2
Christian Bale,11,8.05,7.29,2006.6,2019,132.8,8565922,1616.4
Matt Damon,11,8.01,7.94,2006.1,2019,128.3,6840383,1728.5
Leonardo DiCaprio,11,8.13,7.49,2007.5,2019,154.1,10782195,2049.3
Denzel Washington,9,7.71,6.74,1999.0,2007,140.2,2174458,691.9
Scarlett Johansson,9,7.9,7.59,2011.9,2019,128.1,5557598,1439.8
Ethan Hawke,9,7.89,7.98,2002.1,2014,114.7,2436965,256.7
Johnny Depp,9,7.73,6.42,1997.2,2004,121.0,2911365,535.1
James Stewart,9,8.17,9.07,1949.6,1962,119.3,1671717,61.7
Harrison Ford,8,8.26,7.9,1987.8,2017,128.6,6341070,1676.5
Michael Caine,8,8.09,7.61,1999.0,2014,122.6,6019737,1026.0
Jeff Bridges,7,7.79,7.9,2005.0,2017,116.4,2345808,582.8
Mark Ruffalo,7,8.04,7.53,2015.0,2019,144.3,4308905,2058.4
Tom Cruise,7,7.8,7.09,2002.3,2018,145.4,2797921,906.1
Jake Gyllenhaal,7,7.83,7.69,2007.3,2014,127.3,2907539,284.5
Bruce Willis,7,8.04,7.11,1997.1,2012,124.3,5226702,750.7
Emma Watson,7,7.83,7.84,2010.0,2019,138.0,3425054,1644.2
Robert Downey Jr.,7,7.97,7.2,2012.7,2019,147.3,5557769,3129.1
Ian McKellen,7,8.21,7.69,2007.4,2014,163.9,7063378,1869.9
Russell Crowe,7,8.03,7.63,2002.3,2007,144.0,3739630,697.5
Morgan Freeman,7,8.19,7.41,1998.1,2007,125.3,5473009,399.7
Edward Norton,7,7.97,6.86,2004.7,2018,121.7,4323002,227.2
Dustin Hoffman,6,7.92,7.43,1975.3,1988,124.3,1185873,558.7
Matthew McConaughey,6,8.0,7.37,2011.3,2019,130.3,3662364,388.2
Chris Evans,6,7.9,7.23,2016.2,2019,139.7,4024438,2339.7
Audrey Hepburn,6,7.8,8.08,1960.3,1967,122.8,536162,103.0
Josh Brolin,6,7.77,7.48,2008.2,2018,127.8,2402043,655.8
Joe Pesci,6,8.03,7.95,1994.3,2019,147.5,2729725,458.3
Daniel Radcliffe,6,7.77,7.58,2006.7,2011,146.7,3477737,1835.9
Ethan Coen,6,7.82,7.37,1993.2,2000,108.7,1963613,101.0
Gene Hackman,6,7.82,8.18,1982.2,2001,116.0,1042092,208.2
Jack Nicholson,6,8.18,7.58,1987.3,2006,139.5,3811471,607.2
Rupert Grint,6,7.77,7.58,2006.7,2011,146.7,3477737,1835.9
Bill Murray,6,7.82,8.08,1999.8,2012,97.0,2036192,437.7
Diane Keaton,6,8.23,8.57,1977.8,1990,135.5,3529424,343.8
Christopher Plummer,6,7.87,7.62,1992.8,2011,146.7,2021915,554.0
Ed Harris,6,7.83,7.9,2000.5,2013,127.8,3108250,663.7
Julianne Moore,6,7.9,8.05,1997.7,2006,147.8,2036907,291.9
Sean Penn,6,7.75,6.43,1999.2,2003,139.5,1505634,268.4
Kevin Bacon,6,7.7,6.95,2000.8,2011,136.0,1859581,619.4
Rachel McAdams,6,7.78,6.82,2011.2,2015,117.8,2271599,408.6
Samuel L. Jackson,6,7.95,7.33,2006.0,2015,138.3,4691336,911.5
Paul Newman,6,8.02,8.2,1968.3,1982,122.8,761610,358.0
Jennifer Connelly,5,7.94,6.84,2004.4,2017,122.8,2361527,264.5
Sean Connery,5,7.86,7.52,1980.2,1989,123.0,1295275,331.7
Kevin Spacey,5,8.3,7.66,1999.0,2009,118.0,4373161,323.2
Humphrey Bogart,5,8.02,9.14,1947.2,1954,109.2,916221,8.7
Willem Dafoe,5,7.86,7.24,2001.8,2019,116.0,829316,179.1
Julie Delpy,5,7.92,8.68,1999.8,2013,95.2,804285,22.3
Ryan Gosling,5,7.88,7.74,2012.6,2017,129.0,2422538,429.5
Katharine Hepburn,5,7.76,8.18,1955.4,1981,107.2,257486,176.5
William Holden,5,7.96,8.46,1961.8,1976,132.0,536236,57.0
Gary Oldman,5,8.04,6.9,2001.6,2014,143.8,3539416,810.1
Tom Hardy,5,8.1,8.18,2014.0,2017,137.2,4095293,987.9
Cary Grant,5,7.96,9.36,1949.2,1963,113.0,578906,37.2
John Goodman,5,7.9,7.88,2002.6,2012,109.0,2464570,494.3
Catherine Keener,5,7.78,7.94,2008.8,2017,124.6,1882716,327.4
Philip Seymour Hoffman,5,7.7,7.6,2003.6,2011,142.8,978545,117.0
Viggo Mortensen,5,8.26,8.08,2009.2,2018,145.6,3923357,828.5
Joaquin Phoenix,5,8.18,7.34,2008.2,2019,132.0,3390011,691.8
Frances McDormand,5,7.92,8.2,1997.0,2017,112.4,1478599,148.4
Jack Lemmon,5,7.98,8.64,1974.0,1992,128.0,677814,169.3
Patricia Arquette,4,7.8,7.02,1999.5,2014,136.2,838489,47.3
Robert Shaw,4,7.92,7.75,1972.0,1975,119.2,842852,447.9
Franka Potente,4,7.7,6.75,2001.2,2004,108.0,1372643,358.2
Simon Pegg,4,7.82,8.12,2009.5,2018,123.5,1844308,515.1
Domhnall Gleeson,4,7.85,7.22,2014.2,2015,131.2,2343585,1161.1
George Clooney,4,7.75,8.05,2005.8,2013,100.2,1771955,524.0
Zoe Saldana,4,7.78,7.45,2013.2,2017,137.8,3195615,1712.3
Meryl Streep,4,7.75,7.8,1996.2,2009,110.5,584784,221.0
Clive Owen,4,7.85,7.55,2004.8,2006,120.2,2052153,319.8
Rooney Mara,4,7.88,8.12,2012.5,2016,130.5,1802734,276.8
Laura Dern,4,7.82,7.1,1998.0,2014,120.2,1476067,568.4
John Wayne,4,7.95,9.35,1954.0,1962,119.8,249069,12.5
Ken Watanabe,4,8.15,7.2,2006.0,2010,145.8,3929404,624.3
Hugh Jackman,4,8.15,7.2,2012.5,2017,138.0,3099055,574.3
Daniel Day-Lewis,4,7.97,8.75,1995.2,2007,126.5,892686,155.5
Bill Nighy,4,7.78,7.0,2011.0,2014,127.2,1297459,334.9
Chiwetel Ejiofor,4,7.9,8.25,2007.8,2013,129.8,1781405,247.9
Tim Robbins,4,8.12,7.9,2002.2,2019,148.5,2865213,124.6
Kang-ho Song,4,8.02,7.3,2006.0,2019,125.5,781513,53.4
Jamie Foxx,4,7.95,7.62,2013.8,2020,138.5,1701948,238.1
Sigourney Weaver,4,8.08,8.18,1989.5,2009,130.2,2914936,1163.2
Jodie Foster,4,8.02,8.28,1994.2,2006,123.5,2405515,253.7
Shah Rukh Khan,4,8.0,5.98,2006.0,2010,174.0,285214,9.8
Mads Mikkelsen,4,7.9,7.18,2010.8,2020,111.5,393272,1.1
Robin Williams,4,8.05,7.72,1992.0,1997,116.2,1786184,503.7
Joe Russo,4,8.08,7.28,2016.8,2019,153.2,3044263,2205.0
Henry Fonda,4,8.28,8.5,1961.5,1981,124.8,1105898,129.0
Liam Neeson,4,8.15,7.52,2003.5,2008,131.5,3211915,463.8
Geoffrey Rush,4,7.88,7.18,2005.5,2013,124.2,1814474,480.1
Woody Allen,4,7.88,8.52,1980.0,1989,94.5,473966,103.2
James McAvoy,4,7.78,7.48,2009.5,2014,127.2,1732000,448.9
Keira Knightley,4,7.9,7.58,2007.2,2014,127.2,2210617,485.9
Ben Kingsley,4,8.2,7.22,1997.8,2010,158.5,2860587,300.2
Kathy Bates,4,7.75,7.38,1997.2,2011,131.8,1685859,859.8
Carrie Fisher,4,8.3,7.65,1982.2,1989,117.8,3536921,1015.2
Marlon Brando,4,8.43,9.55,1964.0,1979,138.0,2468054,236.0
Samantha Morton,4,7.65,7.52,2004.8,2008,124.0,693587,151.6
Kevin Costner,4,7.92,7.42,1996.0,2016,154.0,865094,500.5
Tony Chiu-Wai Leung,4,8.02,8.05,1999.5,2002,105.2,479361,57.2
Uma Thurman,4,8.2,7.75,1999.5,2004,127.0,3791572,256.6
Robert Duvall,4,8.28,8.07,1980.5,1993,145.8,2052901,181.7
Daniel Craig,4,7.85,7.85,2012.0,2019,143.8,2090066,739.7
Orlando Bloom,4,8.6,8.4,2002.2,2003,175.2,5804916,1341.4
Benicio Del Toro,4,7.78,6.2,2004.0,2015,116.8,1637590,104.2
Michael Madsen,4,8.02,7.68,1999.0,2004,118.5,2882419,181.0
Jack Hawkins,4,8.05,8.85,1960.5,1964,184.8,727013,164.4
Anthony Hopkins,4,8.07,7.88,1992.2,2005,125.8,1608320,158.8
Joseph Gordon-Levitt,4,7.93,7.38,2008.5,2011,112.0,2920649,360.7
Claude Rains,4,8.05,9.0,1940.0,1946,101.0,752099,21.1
Jared Leto,4,7.93,6.82,2006.8,2013,120.5,1719045,55.1
Cate Blanchett,4,7.8,7.65,2011.8,2017,124.8,1607863,634.7
Walter Matthau,4,7.82,7.72,1974.0,1991,127.8,269100,128.4
Bradley Cooper,4,7.75,7.95,2013.2,2018,119.8,2757197,957.9
Brendan Gleeson,4,7.88,7.6,2011.2,2014,96.0,1073796,109.5
Alec Guinness,4,8.18,9.2,1962.8,1977,150.2,1729485,412.5
Rod Steiger,4,7.9,7.8,1964.2,1971,143.0,309958,146.4
Charles Bronson,4,8.02,7.82,1964.5,1968,153.8,682476,67.6
Kate Winslet,4,7.83,7.88,2000.0,2004,136.0,2259028,788.6
Tim Allen,4,8.05,8.98,2005.8,2019,94.0,2375150,1286.7
Gael García Bernal,4,7.98,8.18,2005.5,2017,122.8,820442,245.5
Charlton Heston,3,8.03,8.93,1961.7,1968,139.7,483064,110.3
Jude Law,3,7.67,5.8,2002.3,2009,121.7,1107732,272.8
Martin Balsam,3,8.2,8.27,1969.0,1976,112.7,819605,75.0
Max von Sydow,3,7.93,8.3,1977.3,2002,121.0,1035749,365.0
Jack Warden,3,7.87,8.13,1979.0,1982,132.3,204752,154.8
Catherine Deneuve,3,7.9,8.07,1990.7,2007,113.7,239824,8.6
Faye Dunaway,3,8.0,8.7,1972.3,1976,120.7,541556,29.0
Sylvester Stallone,3,7.8,7.1,1991.0,2015,115.3,992753,274.2
Gerard Butler,3,7.83,6.77,2010.0,2014,105.7,1705260,605.2
Taika Waititi,3,7.8,6.7,2016.5,2019,97.0,455416,3.7
Bill Paxton,3,7.8,7.47,2007.7,2014,123.3,1335335,306.4
Jon Voight,3,7.9,7.83,1978.7,1995,130.7,776977,119.3
Alexandra Maria Lara,3,8.0,7.8,2008.0,2013,133.7,825728,33.3
Marion Cotillard,3,7.63,6.03,2008.3,2015,113.7,206861,12.2
Steve McQueen,3,7.97,7.27,1965.3,1973,150.3,434076,70.3
Vin Diesel,3,7.87,7.6,2010.0,2017,114.3,1785512,746.1
Gunnar Björnstrand,3,8.17,8.73,1960.0,1966,90.7,364511,0.0
Chris Pine,3,7.73,8.07,2012.7,2016,120.3,1244699,513.4
Sam Rockwell,3,7.93,7.83,2011.3,2017,111.3,871092,78.1
Dianne Wiest,3,7.83,6.4,1992.3,2001,114.7,657407,136.8
Martin Freeman,3,7.8,6.83,2010.7,2013,150.3,1822251,585.0
Jeremy Renner,3,7.87,7.43,2015.0,2017,122.0,2060431,757.6
